title,genres,overview,poster_path,language,release_date,popularity,id
Final Destination Bloodlines,Horror Mystery,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,,,,
The Twisters,Action Adventure Drama,"A deadly patchwork of destructive cyclones is on an apocalyptic path of convergence at a populated Midwest city center. There, the twisters will merge into one mega tornado that threatens to obliterate the cities for hundreds of miles around.",/8OP3h80BzIDgmMNANVaYlQ6H4Oc.jpg,,,,
Lilo & Stitch,Family Science Fiction Comedy Adventure,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,/7c5VBuCbjZOk7lSfj9sMpmDIaKX.jpg,,,,
Distant,Science Fiction Comedy Action,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",/czh8HOhsbBUKoKsmRmLQMCLHUev.jpg,,,,
How to Train Your Dragon,Fantasy Family Action,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",/q5pXRYTycaeW6dEgsCrd4mYPmxM.jpg,,,,
KPop Demon Hunters,Animation Fantasy Action Comedy Music,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",/43c1efKzA1kigNzY0HBzeoXp8LR.jpg,,,,
28 Years Later,Horror Thriller Science Fiction,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",/361hRZoG91Nw6qXaIKuGoogQjix.jpg,,,,
The Amateur,Thriller Action,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,,,,
STRAW,Thriller Drama Crime,What will be her last straw? A devastatingly bad day pushes a hardworking single mother to the breaking point — and into a shocking act of desperation.,/t3cmnXYtxJb9vVL1ThvT2CWSe1n.jpg,,,,
Diablo,Action Thriller,"Ex-con Kris Chaney seizes the daughter of a Colombian gangster to fulfill a noble promise to the young girl's mother. When her father enlists both the criminal underworld and a psychotic killer to exact his revenge, Kris relies on everything he's ever learned to stay alive and keep his word.",/uFQduVyYIinJy3eLjozgfl6Xtcn.jpg,,,,
A Minecraft Movie,Family Comedy Adventure Fantasy,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,,,,
F1 The Movie,Action Drama,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg,,,,
Predator: Killer of Killers,Animation Action Science Fiction,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg,,,,
The Accountant²,Mystery Crime Thriller,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",/kMDUS7VmFhb2coRfVBoGLR8ADBt.jpg,,,,
28 Days Later,Horror Thriller Science Fiction,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",/sQckQRt17VaWbo39GIu0TMOiszq.jpg,,,,
Sinners,Horror Fantasy Thriller,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",/yqsCU5XOP2mkbFamzAqbqntmfav.jpg,,,,
First Shift,Crime Thriller Action,"NYPD veteran Mike and rookie Angela tackle a high-stakes day on New York's toughest streets, diving headfirst into a vortex of danger and action. Their adrenaline-fueled pursuits and unexpected threats unfold as they navigate perilous encounters. Amidst the chaos, intense challenges forge unbreakable bonds.",/ajsGI4JYaciPIe3gPgiJ3Vw5Vre.jpg,,,,
Possessions,Horror,"Follows a father who seeks a fresh start with his son after the loss of his wife, and purchased a storage unit facility sight unseen, but secrets buried behind the metal doors become a parent's worst nightmare.",/39a7zYZvkGfs7EOVVK3dQlWyYJ0.jpg,,,,
Mission: Impossible - The Final Reckoning,Action Adventure Thriller,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,,,,
Baby Blue,Horror Comedy,"A group of teens stumble across the story of now dead serial killer Baby Blue and decide he'd be the perfect subject of a true crime vodcast. But when they start digging, they quickly discover that his murder spree never stopped. Now they are being targeted from beyond the grave.",/pC6j3tSoneNbe4pjjtGOcWWxGMU.jpg,,,,
Utopia,Mystery Thriller Action Science Fiction,"A soldier searching for his missing wife breaks into a high-tech facility, believing she's been caught in a human trafficking ring. But beyond its walls, he finds a surreal, futuristic fantasy park where reality and illusion blur. As he navigates this seductive and dangerous world, a shocking truth pulls him deeper into a deadly game where nothing is as it seems.",/yef0tY1Nw3BX8PJTfBLieqHj5Hw.jpg,,,,
Deep Cover,Action Comedy Crime,"Kat is an improv comedy teacher beginning to question if she’s missed her shot at success. When an undercover cop offers her the role of a lifetime, she recruits two of her students to infiltrate London’s gangland by impersonating dangerous criminals.",/euM8fJvfH28xhjGy25LiygxfkWc.jpg,,,,
Life After Fighting,Action Drama Thriller,"Retired martial arts world champion Alex Faulkner has settled into a simple life, when the disappearance of two of his students leads to an unthinkable discovery close to home. Just when all hope of finding the children is lost, he locates the imprisoned girls and unsurfaces an international child trafficking operation, which draws him back into the fight of his life against those behind it.",/uKWAk4BHzyEOMmLKUDXoIAPhH36.jpg,,,,
Jurassic World Rebirth,Science Fiction Adventure Action,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",/q0fGCmjLu42MPlSO9OYWpI5w86I.jpg,,,,
Ballerina,Action Thriller Crime,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",/mKp4euM5Cv3m2U1Vmby3OGwcD5y.jpg,,,,
A Working Man,Action Crime Thriller,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg,,,,
Snow White,Family Fantasy,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.",/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,,,,
