title,language,release_date,popularity,id,genres
Final Destination Bloodlines,English,2025-05-14,671.3915,574475,"Horror, Mystery"
The Twisters,English,2024-06-28,388.6965,1311844,"Action, Adventure, Drama"
Lilo & Stitch,English,2025-05-17,409.7946,552524,"Family, Science Fiction, Comedy, Adventure"
Distant,English,2024-07-12,331.2084,605722,"Science Fiction, Comedy, Action"
How to Train Your Dragon,English,2025-06-06,337.9099,1087192,"Fantasy, Family, Action"
KPop Demon Hunters,English,2025-06-20,313.4263,803796,"Animation, Fantasy, Action, Comedy, Music"
28 Years Later,English,2025-06-18,271.2644,1100988,"Horror, Thriller, Science Fiction"
First Shift,English,2024-08-30,263.3459,1090007,"Crime, Thriller, Action"
Diablo,English,2025-06-13,186.8518,1127110,"Action, Thriller"
The Amateur,English,2025-04-09,186.65,1087891,"Thriller, Action"
F1 The Movie,English,2025-06-25,195.915,911430,"Action, Drama"
STRAW,English,2025-06-05,164.9818,1426776,"Thriller, Drama, Crime"
A Minecraft Movie,English,2025-03-31,170.8127,950387,"Family, Comedy, Adventure, Fantasy"
Predator: Killer of Killers,English,2025-06-05,139.5601,1376434,"Animation, Action, Science Fiction"
The Accountant²,English,2025-04-23,132.1328,870028,"Mystery, Crime, Thriller"
Sinners,English,2025-04-16,132.9423,1233413,"Horror, Fantasy, Thriller"
28 Days Later,English,2002-10-31,127.4302,170,"Horror, Thriller, Science Fiction"
Mission: Impossible - The Final Reckoning,English,2025-05-17,117.3627,575265,"Action, Adventure, Thriller"
Jurassic World Rebirth,English,2025-07-01,112.2759,1234821,"Science Fiction, Adventure, Action"
Deep Cover,English,2025-06-12,105.7938,1239193,"Action, Comedy, Crime"
Possessions,English,2024-04-12,91.5212,1152619,Horror
Baby Blue,English,2023-04-16,91.8825,1026542,"Horror, Comedy"
Utopia,English,2024-12-09,98.876,1379587,"Mystery, Thriller, Action, Science Fiction"
Ballerina,English,2025-06-04,92.7839,541671,"Action, Thriller, Crime"
Kayara,English,2025-01-02,91.6782,666154,"Adventure, Animation, Family"
Life After Fighting,English,2024-06-07,89.9733,1289601,"Action, Drama, Thriller"
A Working Man,English,2025-03-26,98.1368,1197306,"Action, Crime, Thriller"
Snow White,English,2025-03-12,88.1408,447273,"Family, Fantasy"
xXx,English,2002-08-09,92.9352,7451,"Action, Adventure, Thriller, Crime"
The Phoenician Scheme,English,2025-05-23,86.5329,1137350,"Adventure, Comedy"
M3GAN 2.0,English,2025-06-25,83.6227,1071585,"Action, Science Fiction"
Thunderbolts*,English,2025-04-30,75.2651,986056,"Action, Science Fiction, Adventure"
Elio,English,2025-06-18,75.6296,1022787,"Family, Comedy, Adventure, Animation, Science Fiction"
28 Weeks Later,English,2007-04-26,67.3454,1562,"Horror, Thriller, Science Fiction"
Moana 2,English,2024-11-21,69.7397,1241982,"Animation, Adventure, Family, Comedy"
Warfare,English,2025-04-09,67.986,1241436,"War, Action"
Captain America: Brave New World,English,2025-02-12,67.7148,822119,"Action, Thriller, Science Fiction"
Shadow Force,English,2025-05-01,67.7287,757725,"Action, Drama, Thriller"
